metric,verbalizado,std
context_recall,0.7085907335907337,0.002826554143696232
context_precision,0.471073573533802,0.002037510428487612
faithfulness,0.9443370968370968,0.005081273490756772
answer_relevancy,0.6799340978229825,0.010753036084385286
