metric,baseline,std
context_recall,0.6021897810218978,0.0
context_precision,0.4142944038607399,0.001666198407561153
faithfulness,0.9102433090024331,0.007026650277010572
answer_relevancy,0.42716652171491336,0.002049703060699727
