metric,verbalizado,std
context_recall,0.6802919708029197,0.0029197080291971217
context_precision,0.49973641520793144,0.0030840475814829468
faithfulness,0.926511991657977,0.009394290931968497
answer_relevancy,0.5234871736895845,0.004522094632247366
